trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
1-4814-000-0083,16:34:00,16:34:00,830012952,1,1
1-4814-000-0083,16:43:00,16:43:00,830012950,2,1
1-4813-001-0083,14:18:00,14:18:00,830012950,1,1
1-4813-001-0083,14:26:00,14:26:00,830012952,2,1
1-4812-002-0083,14:34:00,14:34:00,830012952,1,1
1-4812-002-0083,14:43:00,14:43:00,830012950,2,1
1-4811-003-0083,12:18:00,12:18:00,830012950,1,1
1-4811-003-0083,12:26:00,12:26:00,830012952,2,1
1-4810-004-0083,12:34:00,12:34:00,830012952,1,1
1-4810-004-0083,12:43:00,12:43:00,830012950,2,1
1-4809-005-0083,12:18:00,12:18:00,830012950,1,1
1-4809-005-0083,12:26:00,12:26:00,830012952,2,1
1-4808-006-0083,12:34:00,12:34:00,830012952,1,1
1-4808-006-0083,12:43:00,12:43:00,830012950,2,1
1-4807-007-0083,10:18:00,10:18:00,830012950,1,1
1-4807-007-0083,10:26:00,10:26:00,830012952,2,1
1-4806-008-0083,10:34:00,10:34:00,830012952,1,1
1-4806-008-0083,10:43:00,10:43:00,830012950,2,1
1-4805-009-0083,10:18:00,10:18:00,830012950,1,1
1-4805-009-0083,10:26:00,10:26:00,830012952,2,1
1-4804-00A-0083,10:34:00,10:34:00,830012952,1,1
1-4804-00A-0083,10:43:00,10:43:00,830012950,2,1
1-4803-00B-0083,08:18:00,08:18:00,830012950,1,1
1-4803-00B-0083,08:26:00,08:26:00,830012952,2,1
1-4802-00C-0083,08:34:00,08:34:00,830012952,1,1
1-4802-00C-0083,08:43:00,08:43:00,830012950,2,1
1-4801-00D-0083,06:23:00,06:23:00,830012950,1,1
1-4801-00D-0083,06:30:00,06:30:00,830012952,2,1
1-4800-00E-0083,06:35:00,06:35:00,830012952,1,1
1-4800-00E-0083,06:44:00,06:44:00,830012950,2,1
1-4791-00F-0083,05:41:00,05:41:00,830012902,1,1
1-4791-00F-0083,06:20:00,06:21:00,830012860,2,1
1-4791-00F-0083,06:40:00,06:44:00,830012862,3,1
1-4791-00F-0083,07:02:00,07:03:00,830012866,4,1
1-4791-00F-0083,07:10:00,07:11:00,830012867,5,1
1-4791-00F-0083,07:31:00,07:31:00,830012869,6,1
1-4791-010-0083,05:37:00,05:37:00,830012855,1,1
1-4791-010-0083,05:40:00,05:41:00,830012902,2,1
1-4791-010-0083,06:20:00,06:21:00,830012860,3,1
1-4791-010-0083,06:40:00,06:44:00,830012862,4,1
1-4791-010-0083,07:02:00,07:03:00,830012866,5,1
1-4791-010-0083,07:10:00,07:11:00,830012867,6,1
1-4791-010-0083,07:31:00,07:31:00,830012869,7,1
1-4791-011-0083,05:36:00,05:36:00,830012902,1,1
1-4791-011-0083,06:15:00,06:16:00,830012860,2,1
1-4791-011-0083,06:35:00,06:39:00,830012862,3,1
1-4791-011-0083,06:57:00,06:58:00,830012866,4,1
1-4791-011-0083,07:05:00,07:06:00,830012867,5,1
1-4791-011-0083,07:26:00,07:26:00,830012869,6,1
1-4790-012-0083,20:36:00,20:36:00,830012869,1,1
1-4790-012-0083,20:53:00,20:54:00,830012867,2,1
1-4790-012-0083,21:01:00,21:02:00,830012866,3,1
1-4790-012-0083,21:23:00,21:25:00,830012862,4,1
1-4790-012-0083,21:40:00,21:41:00,830012860,5,1
1-4790-012-0083,21:50:00,21:51:00,830012859,6,1
1-4790-012-0083,22:03:00,22:04:00,830012857,7,1
1-4790-012-0083,22:22:00,22:23:00,830012902,8,1
1-4790-012-0083,22:28:00,22:28:00,830012855,9,1
1-4790-013-0083,20:36:00,20:36:00,830012869,1,1
1-4790-013-0083,20:53:00,20:54:00,830012867,2,1
1-4790-013-0083,21:01:00,21:02:00,830012866,3,1
1-4790-013-0083,21:23:00,21:25:00,830012862,4,1
1-4790-013-0083,21:40:00,21:41:00,830012860,5,1
1-4790-013-0083,21:50:00,21:51:00,830012859,6,1
1-4790-013-0083,22:03:00,22:04:00,830012857,7,1
1-4790-013-0083,22:22:00,22:22:00,830012902,8,1
1-4790-014-0083,20:41:00,20:41:00,830012869,1,1
1-4790-014-0083,20:58:00,20:59:00,830012867,2,1
1-4790-014-0083,21:06:00,21:07:00,830012866,3,1
1-4790-014-0083,21:28:00,21:30:00,830012862,4,1
1-4790-014-0083,21:45:00,21:46:00,830012860,5,1
